Station,Year,Month,Day,Night,DayLimit,NightLimit
LUC10,2018,12,63,59,65,55
MUM01,2018,1,40,40,50,40
MUM01,2018,2,42,43,50,40
MUM01,2018,3,51,53,50,40
MUM01,2018,4,50,51,50,40
MUM01,2018,5,44,44,50,40
MUM01,2018,6,51,50,50,40
MUM01,2018,7,65,65,50,40
MUM01,2018,8,65,64,50,40
MUM01,2018,9,59,51,50,40
MUM01,2018,10,68,69,50,40
MUM01,2018,11,53,53,50,40
MUM01,2018,12,67,67,50,40
MUM02,2018,1,61,61,65,55
MUM02,2018,2,63,63,65,55
MUM02,2018,3,65,64,65,55
MUM02,2018,4,65,65,65,55
MUM02,2018,5,62,62,65,55
MUM02,2018,6,62,62,65,55
MUM02,2018,7,60,60,65,55
MUM02,2018,8,56,55,65,55
MUM02,2018,9,59,59,65,55
MUM02,2018,10,68,69,65,55
MUM02,2018,11,63,63,65,55
MUM02,2018,12,64,63,65,55
MUM03,2018,1,66,62,65,55
MUM03,2018,2,65,62,65,55
MUM03,2018,3,66,61,65,55
MUM03,2018,4,70,69,65,55
MUM03,2018,5,73,84,65,55
MUM03,2018,6,69,61,65,55
MUM03,2018,7,69,67,65,55
MUM03,2018,8,68,67,65,55
MUM03,2018,9,68,66,65,55
MUM03,2018,10,69,61,65,55
MUM03,2018,11,68,60,65,55
MUM03,2018,12,68,63,65,55
MUM04,2018,1,63,54,65,55
MUM04,2018,2,63,56,65,55
MUM04,2018,3,63,57,65,55
MUM04,2018,4,60,55,65,55
MUM04,2018,5,54,53,65,55
MUM04,2018,6,54,53,65,55
MUM04,2018,7,54,52,65,55
MUM04,2018,8,54,53,65,55
MUM04,2018,9,60,59,65,55
MUM04,2018,10,62,56,65,55
MUM04,2018,11,63,54,65,55
MUM04,2018,12,63,56,65,55
MUM05,2018,1,72,69,50,40
MUM05,2018,2,72,65,50,40
